,ID WMO,:  96751
,NAMA STASIUN,:  Stasiun Meteorologi Citeko
,LINTANG,:  -6.70000
,BUJUR,:  106.85000
,ELEVASI,:  920 Meter
,,
,,
TANGGAL,RR,
01-08-2024,0,
02-08-2024,47.2,
03-08-2024,8888,
04-08-2024,8888,
05-08-2024,0,
06-08-2024,0,
07-08-2024,0,
08-08-2024,0,
09-08-2024,0,
10-08-2024,0,
11-08-2024,5.5,
12-08-2024,0,
13-08-2024,0,
14-08-2024,0,
15-08-2024,0,
16-08-2024,0,
17-08-2024,0,
18-08-2024,0,
19-08-2024,0,
20-08-2024,0,
21-08-2024,0,
22-08-2024,0,
23-08-2024,8888,
24-08-2024,0,
25-08-2024,0,
26-08-2024,0,
27-08-2024,0,
28-08-2024,2,
29-08-2024,0,
30-08-2024,0,
31-08-2024,0,
,,
,,
,,
KETERANGAN:,,
8888: Data tidak terukur,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,
RR: Curah hujan(mm),,
