,ID WMO,:  96751
,NAMA STASIUN,:  Stasiun Meteorologi Citeko
,LINTANG,:  -6.70000
,BUJUR,:  106.85000
,ELEVASI,:  920 Meter
,,
,,
TANGGAL,RR,
01-10-2024,0,
02-10-2024,0,
03-10-2024,0.5,
04-10-2024,8888,
05-10-2024,34.5,
06-10-2024,16.8,
07-10-2024,0,
08-10-2024,0,
09-10-2024,0,
10-10-2024,8888,
11-10-2024,1,
12-10-2024,0,
13-10-2024,0,
14-10-2024,0,
15-10-2024,8888,
16-10-2024,0,
17-10-2024,0,
18-10-2024,0,
19-10-2024,8888,
20-10-2024,0,
21-10-2024,0,
22-10-2024,0,
23-10-2024,0,
24-10-2024,0,
25-10-2024,8888,
26-10-2024,0,
27-10-2024,0,
28-10-2024,0,
29-10-2024,6.4,
30-10-2024,0,
31-10-2024,0,
,,
,,
,,
KETERANGAN:,,
8888: Data tidak terukur,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,
RR: Curah hujan(mm),,
