,ID WMO,:  96751
,NAMA STASIUN,:  Stasiun Meteorologi Citeko
,LINTANG,:  -6.70000
,BUJUR,:  106.85000
,ELEVASI,:  920 Meter
,,
,,
TANGGAL,RR,
01-12-2025,2.7,
02-12-2025,46.4,
03-12-2025,4.3,
04-12-2025,23.6,
05-12-2025,33.2,
06-12-2025,72.3,
07-12-2025,17.1,
08-12-2025,27,
09-12-2025,8888,
10-12-2025,0,
11-12-2025,11,
12-12-2025,1.2,
13-12-2025,7,
14-12-2025,0,
15-12-2025,21.5,
16-12-2025,5.6,
17-12-2025,11.8,
18-12-2025,4.2,
19-12-2025,12.3,
20-12-2025,15.6,
21-12-2025,32.4,
22-12-2025,18.4,
23-12-2025,22.4,
24-12-2025,55.6,
25-12-2025,0,
26-12-2025,2.1,
27-12-2025,8888,
28-12-2025,8888,
29-12-2025,56.9,
30-12-2025,1.6,
31-12-2025,12.4,
,,
,,
,,
KETERANGAN:,,
8888: Data tidak terukur,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,
RR: Curah hujan(mm),,
