,ID WMO,:  96751
,NAMA STASIUN,:  Stasiun Meteorologi Citeko
,LINTANG,:  -6.70000
,BUJUR,:  106.85000
,ELEVASI,:  920 Meter
,,
,,
TANGGAL,RR,
01-07-2025,0,
02-07-2025,0.1,
03-07-2025,42,
04-07-2025,15.3,
05-07-2025,8888,
06-07-2025,111,
07-07-2025,36.2,
08-07-2025,43.3,
09-07-2025,7,
10-07-2025,8888,
11-07-2025,0,
12-07-2025,0,
13-07-2025,0,
14-07-2025,15.8,
15-07-2025,0,
16-07-2025,1,
17-07-2025,1,
18-07-2025,0,
19-07-2025,0,
20-07-2025,0,
21-07-2025,0,
22-07-2025,0,
23-07-2025,0,
24-07-2025,0,
25-07-2025,0,
26-07-2025,0,
27-07-2025,0,
28-07-2025,8888,
29-07-2025,31.5,
30-07-2025,8888,
31-07-2025,6,
,,
,,
,,
KETERANGAN:,,
8888: Data tidak terukur,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,
RR: Curah hujan(mm),,
