,ID WMO,:  96751
,NAMA STASIUN,:  Stasiun Meteorologi Citeko
,LINTANG,:  -6.70000
,BUJUR,:  106.85000
,ELEVASI,:  920 Meter
,,
,,
TANGGAL,RR,
01-10-2025,16.8,
02-10-2025,0,
03-10-2025,5.7,
04-10-2025,0,
05-10-2025,7.3,
06-10-2025,0,
07-10-2025,0,
08-10-2025,0,
09-10-2025,8888,
10-10-2025,6.6,
11-10-2025,5.6,
12-10-2025,0,
13-10-2025,0,
14-10-2025,8888,
15-10-2025,0,
16-10-2025,8888,
17-10-2025,0,
18-10-2025,13.4,
19-10-2025,2.1,
20-10-2025,2.6,
21-10-2025,2.5,
22-10-2025,48.5,
23-10-2025,7,
24-10-2025,10.5,
25-10-2025,35.2,
26-10-2025,1.8,
27-10-2025,24.7,
28-10-2025,57.3,
29-10-2025,6.2,
30-10-2025,35.6,
31-10-2025,6.7,
,,
,,
,,
KETERANGAN:,,
8888: Data tidak terukur,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,
RR: Curah hujan(mm),,
