,TANGGAL,RR
0,01-06-2024,6.535999999999999
1,02-06-2024,1.4
2,03-06-2024,6.2
3,04-06-2024,26.0
4,05-06-2024,10.0
5,06-06-2024,0.0
6,07-06-2024,0.0
7,08-06-2024,6.535999999999999
8,09-06-2024,6.535999999999999
9,10-06-2024,7.3
10,11-06-2024,1.8
11,12-06-2024,7.5
12,13-06-2024,1.8
13,14-06-2024,0.0
14,15-06-2024,15.2
15,16-06-2024,0.0
16,17-06-2024,0.4
17,18-06-2024,0.0
18,19-06-2024,6.535999999999999
19,20-06-2024,0.0
20,21-06-2024,0.0
21,22-06-2024,6.535999999999999
22,23-06-2024,0.0
23,24-06-2024,0.0
24,25-06-2024,3.5
25,26-06-2024,12.4
26,27-06-2024,0.0
27,28-06-2024,1.6
28,29-06-2024,3.0
29,30-06-2024,65.3
30,01-07-2024,6.535999999999999
